time (s): 0
time (s): 1e-05
time (s): 2e-05
time (s): 3e-05
3Dto2D dimers: 1
time (s): 4e-05
3Dto2D dimers: 1
time (s): 5e-05
3Dto2D dimers: 1
time (s): 6e-05
3Dto2D dimers: 1
time (s): 7e-05
3Dto2D dimers: 1
time (s): 8e-05
3Dto2D dimers: 1
time (s): 9e-05
3Dto2D dimers: 1
time (s): 0.0001
3Dto2D dimers: 1
time (s): 0.00011
3Dto2D dimers: 1
time (s): 0.00012
3Dto2D dimers: 1
time (s): 0.00013
3Dto2D dimers: 1
time (s): 0.00014
3Dto2D dimers: 1
time (s): 0.00015
3Dto2D dimers: 1
time (s): 0.00016
3Dto2D dimers: 1
time (s): 0.00017
3Dto2D dimers: 1
time (s): 0.00018
3Dto2D dimers: 1
time (s): 0.00019
3Dto2D dimers: 1
time (s): 0.0002
3Dto2D dimers: 1
time (s): 0.00021
3Dto2D dimers: 1
time (s): 0.00022
3Dto2D dimers: 1
time (s): 0.00023
3Dto2D dimers: 1
time (s): 0.00024
3Dto2D dimers: 1
time (s): 0.00025
3Dto2D dimers: 1
time (s): 0.00026
3Dto2D dimers: 1
time (s): 0.00027
3Dto2D dimers: 2
time (s): 0.00028
3Dto2D dimers: 2
time (s): 0.00029
3Dto2D dimers: 2
2D n=1: 1
time (s): 0.0003
3Dto2D dimers: 2
2D n=1: 1
time (s): 0.00031
3Dto2D dimers: 2
2D n=1: 1
time (s): 0.00032
3Dto2D dimers: 2
2D n=1: 1
time (s): 0.00033
3Dto2D dimers: 2
2D n=1: 1
time (s): 0.00034
3Dto2D dimers: 2
2D n=1: 1
time (s): 0.00035
3Dto2D dimers: 2
2D n=1: 1
time (s): 0.00036
3Dto2D dimers: 2
2D n=1: 1
time (s): 0.00037
3Dto2D dimers: 2
2D n=1: 1
time (s): 0.00038
3Dto2D dimers: 2
2D n=1: 1
time (s): 0.00039
3Dto2D dimers: 2
2D n=1: 1
time (s): 0.0004
3Dto2D dimers: 2
2D n=1: 1
time (s): 0.00041
3Dto2D dimers: 2
2D n=1: 1
time (s): 0.00042
