Time (s),pip2(ap2),ap2(a),ap2(b),ap2(#ref),trans(ap2),trans(#pip2),trans(#ref),ap2(b!1).pip2(ap2!1),ap2(a!1).trans(ap2!1)
0.00053,986,488,486,500,988,1000,1000,14,12
0.000535,986,488,486,500,988,1000,1000,14,12
0.00054,986,488,486,500,988,1000,1000,14,12
0.000545,985,488,485,500,988,1000,1000,15,12
0.00055,984,488,484,500,988,1000,1000,16,12
0.000555,984,488,484,500,988,1000,1000,16,12
0.00056,984,488,484,500,988,1000,1000,16,12
0.000565,984,487,484,500,987,1000,1000,16,13
0.00057,984,487,484,500,987,1000,1000,16,13
0.000575,984,487,484,500,987,1000,1000,16,13
0.00058,983,487,483,500,987,1000,1000,17,13
0.000585,983,487,483,500,987,1000,1000,17,13
0.00059,983,487,483,500,987,1000,1000,17,13
0.000595,983,487,483,500,987,1000,1000,17,13
0.0006,982,487,482,500,987,1000,1000,18,13
0.000605,982,487,482,500,987,1000,1000,18,13
0.00061,982,487,482,500,987,1000,1000,18,13
0.000615,982,487,482,500,987,1000,1000,18,13
0.00062,982,487,482,500,987,1000,1000,18,13
0.000625,982,487,482,500,987,1000,1000,18,13
0.00063,982,487,482,500,987,1000,1000,18,13
0.000635,982,487,482,500,987,1000,1000,18,13
0.00064,982,487,482,500,987,1000,1000,18,13
0.000645,982,487,482,500,987,1000,1000,18,13
0.00065,982,487,482,500,987,1000,1000,18,13
0.000655,982,487,482,500,987,1000,1000,18,13
0.00066,982,487,482,500,987,1000,1000,18,13
0.000665,982,487,482,500,987,1000,1000,18,13
0.00067,982,487,482,500,987,1000,1000,18,13
0.000675,982,487,482,500,987,1000,1000,18,13
0.00068,982,487,482,500,987,1000,1000,18,13
0.000685,982,487,482,500,987,1000,1000,18,13
0.00069,982,487,482,500,987,1000,1000,18,13
0.000695,982,487,482,500,987,1000,1000,18,13
0.0007,982,487,482,500,987,1000,1000,18,13
0.000705,982,487,482,500,987,1000,1000,18,13
0.00071,982,487,482,500,987,1000,1000,18,13
0.000715,982,487,482,500,987,1000,1000,18,13
0.00072,982,487,482,500,987,1000,1000,18,13
0.000725,982,487,482,500,987,1000,1000,18,13
0.00073,982,487,482,500,987,1000,1000,18,13
0.000735,982,487,482,500,987,1000,1000,18,13
0.00074,981,487,481,500,987,1000,1000,19,13
0.000745,980,487,480,500,987,1000,1000,20,13
0.00075,980,487,480,500,987,1000,1000,20,13
0.000755,978,487,478,500,987,1000,1000,22,13
0.00076,977,486,477,500,986,1000,1000,23,14
0.000765,977,486,477,500,986,1000,1000,23,14
0.00077,977,486,477,500,986,1000,1000,23,14
0.000775,977,486,477,500,986,1000,1000,23,14
0.00078,977,486,477,500,986,1000,1000,23,14
0.000785,977,486,477,500,986,1000,1000,23,14
0.00079,977,486,477,500,986,1000,1000,23,14
0.000795,977,486,477,500,986,1000,1000,23,14
0.0008,977,485,477,500,985,1000,1000,23,15
0.000805,977,485,477,500,985,1000,1000,23,15
0.00081,977,485,477,500,985,1000,1000,23,15
0.000815,977,485,477,500,985,1000,1000,23,15
0.00082,977,485,477,500,985,1000,1000,23,15
0.000825,977,485,477,500,985,1000,1000,23,15
0.00083,977,485,477,500,985,1000,1000,23,15
0.000835,977,485,477,500,985,1000,1000,23,15
0.00084,977,485,477,500,985,1000,1000,23,15
0.000845,977,485,477,500,985,1000,1000,23,15
0.00085,977,485,477,500,985,1000,1000,23,15
0.000855,977,485,477,500,985,1000,1000,23,15
0.00086,977,484,477,500,984,1000,1000,23,16
0.000865,976,484,476,500,984,1000,1000,24,16
0.00087,976,484,476,500,984,1000,1000,24,16
0.000875,976,483,476,500,983,1000,1000,24,17
0.00088,976,483,476,500,983,1000,1000,24,17
0.000885,976,483,476,500,983,1000,1000,24,17
0.00089,976,483,476,500,983,1000,1000,24,17
0.000895,976,482,476,500,982,1000,1000,24,18
0.0009,976,482,476,500,982,1000,1000,24,18
0.000905,976,482,476,500,982,1000,1000,24,18
0.00091,976,481,476,500,981,1000,1000,24,19
0.000915,975,481,475,500,981,1000,1000,25,19
0.00092,974,481,474,500,981,1000,1000,26,19
0.000925,974,480,474,500,980,1000,1000,26,20
0.00093,973,479,473,500,979,1000,1000,27,21
0.000935,973,479,473,500,979,1000,1000,27,21
0.00094,973,479,473,500,979,1000,1000,27,21
0.000945,972,479,472,500,979,1000,1000,28,21
0.00095,972,479,472,500,979,1000,1000,28,21
0.000955,972,479,472,500,979,1000,1000,28,21
0.00096,972,479,472,500,979,1000,1000,28,21
0.000965,972,478,472,500,978,1000,1000,28,22
0.00097,972,478,472,500,978,1000,1000,28,22
0.000975,972,477,472,500,977,1000,1000,28,23
0.00098,972,477,472,500,977,1000,1000,28,23
0.000985,972,477,472,500,977,1000,1000,28,23
0.00099,972,477,472,500,977,1000,1000,28,23
0.000995,972,477,472,500,977,1000,1000,28,23
0.001,972,477,472,500,977,1000,1000,28,23
0.001005,972,477,472,500,977,1000,1000,28,23
0.00101,972,477,472,500,977,1000,1000,28,23
0.001015,972,477,472,500,977,1000,1000,28,23
0.00102,971,476,471,500,976,1000,1000,29,24
0.001025,970,476,470,500,976,1000,1000,30,24
0.00103,970,475,470,500,975,1000,1000,30,25
0.001035,970,475,470,500,975,1000,1000,30,25
0.00104,970,475,470,500,975,1000,1000,30,25
0.001045,970,475,470,500,975,1000,1000,30,25
0.00105,969,475,469,500,975,1000,1000,31,25
0.001055,968,475,468,500,975,1000,1000,32,25
0.00106,968,475,468,500,975,1000,1000,32,25
0.001065,968,475,468,500,975,1000,1000,32,25
0.00107,968,475,468,500,975,1000,1000,32,25
0.001075,968,475,468,500,975,1000,1000,32,25
0.00108,968,475,468,500,975,1000,1000,32,25
0.001085,968,475,468,500,975,1000,1000,32,25
0.00109,968,475,468,500,975,1000,1000,32,25
0.001095,968,475,468,500,975,1000,1000,32,25
0.0011,967,474,467,500,974,1000,1000,33,26
0.001105,967,474,467,500,974,1000,1000,33,26
0.00111,967,474,467,500,974,1000,1000,33,26
0.001115,967,473,467,500,973,1000,1000,33,27
0.00112,967,473,467,500,973,1000,1000,33,27
0.001125,967,473,467,500,973,1000,1000,33,27
0.00113,967,473,467,500,973,1000,1000,33,27
0.001135,967,473,467,500,973,1000,1000,33,27
0.00114,966,473,466,500,973,1000,1000,34,27
0.001145,966,473,466,500,973,1000,1000,34,27
0.00115,966,473,466,500,973,1000,1000,34,27
0.001155,966,473,466,500,973,1000,1000,34,27
0.00116,966,473,466,500,973,1000,1000,34,27
0.001165,966,473,466,500,973,1000,1000,34,27
0.00117,966,473,466,500,973,1000,1000,34,27
0.001175,965,473,465,500,973,1000,1000,35,27
0.00118,964,473,464,500,973,1000,1000,36,27
0.001185,964,472,464,500,972,1000,1000,36,28
0.00119,964,472,464,500,972,1000,1000,36,28
0.001195,964,471,464,500,971,1000,1000,36,29
0.0012,964,471,464,500,971,1000,1000,36,29
0.001205,964,471,464,500,971,1000,1000,36,29
0.00121,964,471,464,500,971,1000,1000,36,29
0.001215,963,471,463,500,971,1000,1000,37,29
0.00122,963,470,463,500,970,1000,1000,37,30
0.001225,963,469,463,500,969,1000,1000,37,31
0.00123,963,469,463,500,969,1000,1000,37,31
0.001235,963,469,463,500,969,1000,1000,37,31
0.00124,963,469,463,500,969,1000,1000,37,31
0.001245,963,470,463,500,970,1000,1000,37,30
0.00125,963,470,463,500,970,1000,1000,37,30
0.001255,963,470,463,500,970,1000,1000,37,30
