TIME(s)	'pip2,ap2'	'ap2,trans'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0.00108	15	4	0	0	0	0	0	0	0	19
0.00109	15	4	0	0	0	0	0	0	0	19
0.0011	15	4	0	0	0	0	0	0	0	19
0.00111	15	4	0	0	0	0	0	0	0	19
0.00112	15	4	0	0	0	0	0	0	0	19
0.00113	15	4	0	0	0	0	0	0	0	19
0.00114	15	4	0	0	0	0	0	0	0	19
0.00115	15	4	0	0	0	0	0	0	0	19
0.00116	15	4	0	0	0	0	0	0	0	19
0.00117	15	4	0	0	0	0	0	0	0	19
0.00118	15	4	0	0	0	0	0	0	0	19
0.00119	15	4	0	0	0	0	0	0	0	19
0.0012	15	4	0	0	0	0	0	0	0	19
0.00121	15	4	0	0	0	0	0	0	0	19
0.00122	15	4	0	0	0	0	0	0	0	19
0.00123	15	4	0	0	0	0	0	0	0	19
0.00124	15	4	0	0	0	0	0	0	0	19
0.00125	16	4	0	0	0	0	0	0	0	20
0.00126	16	4	0	0	0	0	0	0	0	20
0.00127	16	4	0	0	0	0	0	0	0	20
0.00128	16	4	0	0	0	0	0	0	0	20
0.00129	16	4	0	0	0	0	0	0	0	20
0.0013	16	4	0	0	0	0	0	0	0	20
0.00131	16	4	0	0	0	0	0	0	0	20
0.00132	17	4	0	0	0	0	0	0	0	21
0.00133	17	4	0	0	0	0	0	0	0	21
0.00134	17	4	0	0	0	0	0	0	0	21
0.00135	17	5	0	0	0	0	0	0	0	22
0.00136	17	5	0	0	0	0	0	0	0	22
0.00137	17	6	0	0	0	0	0	0	0	23
0.00138	17	6	0	0	0	0	0	0	0	23
0.00139	17	6	0	0	0	0	0	0	0	23
0.0014	17	6	0	0	0	0	0	0	0	23
0.00141	17	6	0	0	0	0	0	0	0	23
0.00142	18	6	0	0	0	0	0	0	0	24
0.00143	18	6	0	0	0	0	0	0	0	24
0.00144	19	6	0	0	0	0	0	0	0	25
0.00145	19	6	0	0	0	0	0	0	0	25
0.00146	19	6	0	0	0	0	0	0	0	25
0.00147	19	6	0	0	0	0	0	0	0	25
0.00148	19	6	0	0	0	0	0	0	0	25
0.00149	19	6	0	0	0	0	0	0	0	25
0.0015	19	6	0	0	0	0	0	0	0	25
0.00151	19	6	0	0	0	0	0	0	0	25
0.00152	19	6	0	0	0	0	0	0	0	25
0.00153	19	6	0	0	0	0	0	0	0	25
0.00154	19	6	0	0	0	0	0	0	0	25
0.00155	20	6	0	0	0	0	0	0	0	26
0.00156	20	6	0	0	0	0	0	0	0	26
0.00157	20	6	0	0	0	0	0	0	0	26
0.00158	20	6	0	0	0	0	0	0	0	26
0.00159	20	6	0	0	0	0	0	0	0	26
0.0016	20	7	0	0	0	0	0	0	0	27
0.00161	22	7	0	0	0	0	0	0	0	29
0.00162	22	7	0	0	0	0	0	0	0	29
0.00163	22	7	0	0	0	0	0	0	0	29
0.00164	22	7	0	0	0	0	0	0	0	29
0.00165	24	7	0	0	0	0	0	0	0	31
0.00166	24	7	0	0	0	0	0	0	0	31
0.00167	24	7	0	0	0	0	0	0	0	31
0.00168	24	7	0	0	0	0	0	0	0	31
0.00169	24	7	0	0	0	0	0	0	0	31
0.0017	24	7	0	0	0	0	0	0	0	31
0.00171	24	7	0	0	0	0	0	0	0	31
0.00172	24	7	0	0	0	0	0	0	0	31
0.00173	24	7	0	0	0	0	0	0	0	31
0.00174	24	7	0	0	0	0	0	0	0	31
0.00175	24	7	0	0	0	0	0	0	0	31
0.00176	25	7	0	0	0	0	0	0	0	32
0.00177	25	7	0	0	0	0	0	0	0	32
0.00178	25	7	0	0	0	0	0	0	0	32
0.00179	26	7	0	0	0	0	0	0	0	33
0.0018	26	7	0	0	0	0	0	0	0	33
0.00181	27	7	0	0	0	0	0	0	0	34
0.00182	27	8	0	0	0	0	0	0	0	35
0.00183	27	8	0	0	0	0	0	0	0	35
0.00184	27	8	0	0	0	0	0	0	0	35
0.00185	27	8	0	0	0	0	0	0	0	35
0.00186	27	8	0	0	0	0	0	0	0	35
0.00187	28	9	0	0	0	0	0	0	0	37
0.00188	28	9	0	0	0	0	0	0	0	37
0.00189	28	9	0	0	0	0	0	0	0	37
0.0019	28	9	0	0	0	0	0	0	0	37
0.00191	28	10	0	0	0	0	0	0	0	38
0.00192	28	10	0	0	0	0	0	0	0	38
0.00193	28	10	0	0	0	0	0	0	0	38
0.00194	28	10	0	0	0	0	0	0	0	38
0.00195	28	10	0	0	0	0	0	0	0	38
0.00196	28	10	0	0	0	0	0	0	0	38
0.00197	28	10	0	0	0	0	0	0	0	38
0.00198	28	11	0	0	0	0	0	0	0	39
0.00199	28	11	0	0	0	0	0	0	0	39
0.002	28	11	0	0	0	0	0	0	0	39
0.00201	28	11	0	0	0	0	0	0	0	39
0.00202	28	11	0	0	0	0	0	0	0	39
0.00203	28	11	0	0	0	0	0	0	0	39
0.00204	28	11	0	0	0	0	0	0	0	39
0.00205	29	11	0	0	0	0	0	0	0	40
0.00206	29	11	0	0	0	0	0	0	0	40
0.00207	29	11	0	0	0	0	0	0	0	40
0.00208	29	11	0	0	0	0	0	0	0	40
0.00209	29	11	0	0	0	0	0	0	0	40
0.0021	29	11	0	0	0	0	0	0	0	40
0.00211	29	11	0	0	0	0	0	0	0	40
0.00212	30	11	0	0	0	0	0	0	0	41
0.00213	31	11	0	0	0	0	0	0	0	42
0.00214	31	12	0	0	0	0	0	0	0	43
0.00215	31	12	0	0	0	0	0	0	0	43
0.00216	31	12	0	0	0	0	0	0	0	43
0.00217	31	13	0	0	0	0	0	0	0	44
0.00218	31	14	0	0	0	0	0	0	0	45
0.00219	31	14	0	0	0	0	0	0	0	45
0.0022	31	14	0	0	0	0	0	0	0	45
0.00221	31	15	0	0	0	0	0	0	0	46
0.00222	31	15	0	0	0	0	0	0	0	46
0.00223	31	15	0	0	0	0	0	0	0	46
0.00224	31	15	0	0	0	0	0	0	0	46
0.00225	31	15	0	0	0	0	0	0	0	46
0.00226	32	15	0	0	0	0	0	0	0	47
0.00227	32	15	0	0	0	0	0	0	0	47
0.00228	32	15	0	0	0	0	0	0	0	47
0.00229	33	15	0	0	0	0	0	0	0	48
0.0023	33	15	0	0	0	0	0	0	0	48
0.00231	33	15	0	0	0	0	0	0	0	48
0.00232	33	15	0	0	0	0	0	0	0	48
0.00233	33	15	0	0	0	0	0	0	0	48
0.00234	33	16	0	0	0	0	0	0	0	49
0.00235	33	16	0	0	0	0	0	0	0	49
0.00236	33	16	0	0	0	0	0	0	0	49
0.00237	33	16	0	0	0	0	0	0	0	49
0.00238	33	16	0	0	0	0	0	0	0	49
0.00239	33	16	0	0	0	0	0	0	0	49
0.0024	33	16	0	0	0	0	0	0	0	49
0.00241	34	17	0	0	0	0	0	0	0	51
0.00242	34	17	0	0	0	0	0	0	0	51
0.00243	34	17	0	0	0	0	0	0	0	51
0.00244	34	17	0	0	0	0	0	0	0	51
0.00245	34	17	0	0	0	0	0	0	0	51
0.00246	34	17	0	0	0	0	0	0	0	51
0.00247	34	17	0	0	0	0	0	0	0	51
0.00248	34	17	0	0	0	0	0	0	0	51
0.00249	34	17	0	0	0	0	0	0	0	51
