TIME(s)	'pip2,ap2'	'ap2,trans'	'ap2,aak1'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0.00114	45	0	40	0	0	0	0	0	0	0	111
0.00115	45	0	39	0	0	0	0	0	0	0	111
0.00116	45	0	41	0	0	0	0	0	0	0	113
0.00117	47	0	42	0	0	0	0	0	0	0	117
0.00118	47	0	43	0	0	0	0	0	0	0	118
0.00119	48	0	43	0	0	0	0	0	0	0	119
0.0012	48	0	42	0	0	0	0	0	0	0	120
0.00121	48	0	43	0	0	0	0	0	0	0	121
0.00122	48	0	42	0	0	0	0	0	0	0	121
0.00123	48	0	45	0	0	0	0	0	0	0	124
0.00124	49	0	46	0	0	0	0	0	0	0	127
0.00125	49	0	47	0	0	0	0	0	0	0	128
0.00126	49	0	47	0	0	0	0	0	0	0	129
0.00127	49	0	48	0	0	0	0	0	0	0	131
0.00128	50	0	48	0	0	0	0	0	0	0	132
0.00129	51	0	48	0	0	0	0	0	0	0	134
0.0013	51	0	48	0	0	0	0	0	0	0	135
0.00131	51	0	47	0	0	0	0	0	0	0	135
0.00132	51	0	47	0	0	0	0	0	0	0	135
0.00133	51	0	48	0	0	0	0	0	0	0	137
0.00134	51	0	50	0	0	0	0	0	0	0	139
0.00135	51	0	49	0	0	0	0	0	0	0	139
0.00136	52	0	50	0	0	0	0	0	0	0	141
0.00137	52	0	49	0	0	0	0	0	0	0	141
0.00138	52	0	49	0	0	0	0	0	0	0	141
0.00139	52	0	50	0	0	0	0	0	0	0	142
0.0014	52	0	50	0	0	0	0	0	0	0	143
0.00141	52	0	50	0	0	0	0	0	0	0	144
0.00142	52	0	50	0	0	0	0	0	0	0	144
0.00143	52	0	50	0	0	0	0	0	0	0	145
0.00144	52	0	49	0	0	0	0	0	0	0	145
0.00145	52	0	50	0	0	0	0	0	0	0	146
0.00146	52	0	49	0	0	0	0	0	0	0	146
0.00147	52	0	51	0	0	0	0	0	0	0	148
0.00148	54	0	52	0	0	0	0	0	0	0	151
0.00149	54	0	52	0	0	0	0	0	0	0	151
0.0015	55	0	54	0	0	0	0	0	0	0	154
0.00151	56	0	54	0	0	0	0	0	0	0	155
0.00152	56	0	53	0	0	0	0	0	0	0	156
0.00153	56	0	54	0	0	0	0	0	0	0	157
0.00154	56	0	54	0	0	0	0	0	0	0	157
0.00155	56	0	55	0	0	0	0	0	0	0	158
0.00156	56	0	54	0	0	0	0	0	0	0	159
0.00157	56	0	55	0	0	0	0	0	0	0	161
0.00158	57	0	54	0	0	0	0	0	0	0	162
0.00159	57	0	54	0	0	0	0	0	0	0	163
0.0016	58	0	54	0	0	0	0	0	0	0	164
0.00161	58	0	55	0	0	0	0	0	0	0	165
