Time (s),pip2(ap2),ap2(a),ap2(b),ap2(#ref),trans(ap2),trans(#pip2),trans(#ref),ap2(b!1).pip2(ap2!1),ap2(a!1).trans(ap2!1)
0.00117,947,483,447,500,83,100,100,53,17
0.00118,946,483,446,500,83,100,100,54,17
0.00119,946,482,446,500,82,100,100,54,18
0.0012,946,482,446,500,82,100,100,54,18
0.00121,946,482,446,500,82,100,100,54,18
0.00122,946,482,446,500,82,100,100,54,18
0.00123,945,482,445,500,82,100,100,55,18
0.00124,945,482,445,500,82,100,100,55,18
0.00125,944,482,444,500,82,100,100,56,18
0.00126,944,482,444,500,82,100,100,56,18
0.00127,944,482,444,500,82,100,100,56,18
0.00128,944,482,444,500,82,100,100,56,18
0.00129,944,482,444,500,82,100,100,56,18
0.0013,944,482,444,500,82,100,100,56,18
0.00131,944,482,444,500,82,100,100,56,18
0.00132,944,482,444,500,82,100,100,56,18
0.00133,944,481,444,500,81,100,100,56,19
0.00134,944,481,444,500,81,100,100,56,19
0.00135,943,481,443,500,81,100,100,57,19
0.00136,941,481,441,500,81,100,100,59,19
0.00137,941,481,441,500,81,100,100,59,19
0.00138,941,481,441,500,81,100,100,59,19
0.00139,940,481,440,500,81,100,100,60,19
0.0014,940,481,440,500,81,100,100,60,19
0.00141,940,481,440,500,81,100,100,60,19
0.00142,940,481,440,500,81,100,100,60,19
0.00143,940,481,440,500,81,100,100,60,19
0.00144,940,481,440,500,81,100,100,60,19
0.00145,939,481,439,500,81,100,100,61,19
0.00146,938,480,438,500,80,100,100,62,20
0.00147,938,480,438,500,80,100,100,62,20
0.00148,936,479,436,500,79,100,100,64,21
0.00149,936,479,436,500,79,100,100,64,21
0.0015,936,479,436,500,79,100,100,64,21
0.00151,936,479,436,500,79,100,100,64,21
0.00152,936,478,436,500,78,100,100,64,22
0.00153,937,477,437,500,77,100,100,63,23
0.00154,935,478,435,500,78,100,100,65,22
0.00155,936,478,436,500,78,100,100,64,22
0.00156,936,478,436,500,78,100,100,64,22
0.00157,936,478,436,500,78,100,100,64,22
0.00158,934,477,434,500,77,100,100,66,23
0.00159,934,477,434,500,77,100,100,66,23
0.0016,933,476,433,500,76,100,100,67,24
0.00161,933,475,433,500,75,100,100,67,25
0.00162,933,474,433,500,74,100,100,67,26
0.00163,934,474,434,500,74,100,100,66,26
0.00164,934,474,434,500,74,100,100,66,26
0.00165,934,474,434,500,74,100,100,66,26
0.00166,931,474,431,500,74,100,100,69,26
0.00167,931,473,431,500,73,100,100,69,27
0.00168,931,473,431,500,73,100,100,69,27
0.00169,931,472,431,500,72,100,100,69,28
0.0017,931,472,431,500,72,100,100,69,28
0.00171,930,472,430,500,72,100,100,70,28
0.00172,930,472,430,500,72,100,100,70,28
0.00173,930,472,430,500,72,100,100,70,28
0.00174,929,472,429,500,72,100,100,71,28
0.00175,928,472,428,500,72,100,100,72,28
0.00176,928,472,428,500,72,100,100,72,28
0.00177,928,472,428,500,72,100,100,72,28
0.00178,928,472,428,500,72,100,100,72,28
0.00179,928,472,428,500,72,100,100,72,28
0.0018,927,472,427,500,72,100,100,73,28
0.00181,927,472,427,500,72,100,100,73,28
0.00182,927,472,427,500,72,100,100,73,28
0.00183,927,472,427,500,72,100,100,73,28
0.00184,927,472,427,500,72,100,100,73,28
0.00185,927,472,427,500,72,100,100,73,28
0.00186,926,472,426,500,72,100,100,74,28
0.00187,924,472,424,500,72,100,100,76,28
0.00188,924,472,424,500,72,100,100,76,28
0.00189,924,472,424,500,72,100,100,76,28
0.0019,923,472,423,500,72,100,100,77,28
0.00191,923,472,423,500,72,100,100,77,28
0.00192,923,472,423,500,72,100,100,77,28
0.00193,922,472,422,500,72,100,100,78,28
0.00194,922,472,422,500,72,100,100,78,28
0.00195,921,471,421,500,71,100,100,79,29
0.00196,921,471,421,500,71,100,100,79,29
0.00197,920,471,420,500,71,100,100,80,29
0.00198,919,471,419,500,71,100,100,81,29
0.00199,919,469,419,500,69,100,100,81,31
0.002,920,469,420,500,69,100,100,80,31
0.00201,919,469,419,500,69,100,100,81,31
0.00202,919,469,419,500,69,100,100,81,31
0.00203,919,468,419,500,68,100,100,81,32
0.00204,919,467,419,500,67,100,100,81,33
0.00205,919,466,419,500,66,100,100,81,34
0.00206,919,466,419,500,66,100,100,81,34
0.00207,918,465,418,500,65,100,100,82,35
0.00208,917,465,417,500,65,100,100,83,35
0.00209,917,465,417,500,65,100,100,83,35
0.0021,917,465,417,500,65,100,100,83,35
0.00211,917,464,417,500,64,100,100,83,36
0.00212,916,464,416,500,64,100,100,84,36
0.00213,915,464,415,500,64,100,100,85,36
