TIME(s)	'pip2,ap2'	'ap2,trans'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0.00124	42	36	0	0	0	0	0	0	0	80
0.00125	42	36	0	0	0	0	0	0	0	80
0.00126	42	36	0	0	0	0	0	0	0	80
0.00127	42	36	0	0	0	0	0	0	0	80
0.00128	43	36	0	0	0	0	0	0	0	81
0.00129	43	36	0	0	0	0	0	0	0	81
0.0013	44	36	0	0	0	0	0	0	0	82
0.00131	44	36	0	0	0	0	0	0	0	82
0.00132	44	36	0	0	0	0	0	0	0	82
0.00133	44	36	0	0	0	0	0	0	0	82
0.00134	45	36	0	0	0	0	0	0	0	83
0.00135	46	36	0	0	0	0	0	0	0	84
0.00136	46	37	0	0	0	0	0	0	0	85
0.00137	46	38	0	0	0	0	0	0	0	86
0.00138	46	39	0	0	0	0	0	0	0	87
0.00139	46	39	0	0	0	0	0	0	0	87
0.0014	46	39	0	0	0	0	0	0	0	87
0.00141	46	39	0	0	0	0	0	0	0	87
0.00142	46	39	0	0	0	0	0	0	0	87
0.00143	46	39	0	0	0	0	0	0	0	87
0.00144	46	39	0	0	0	0	0	0	0	87
0.00145	46	39	0	0	0	0	0	0	0	87
0.00146	46	39	0	0	0	0	0	0	0	87
0.00147	46	39	0	0	0	0	0	0	0	87
0.00148	46	39	0	0	0	0	0	0	0	87
0.00149	46	40	0	0	0	0	0	0	0	88
0.0015	46	40	0	0	0	0	0	0	0	88
0.00151	46	40	0	0	0	0	0	0	0	88
0.00152	46	40	0	0	0	0	0	0	0	88
0.00153	47	40	0	0	0	0	0	0	0	89
0.00154	47	40	0	0	0	0	0	0	0	89
0.00155	49	40	0	0	0	0	0	0	0	91
0.00156	49	40	0	0	0	0	0	0	0	91
0.00157	49	40	0	0	0	0	0	0	0	91
0.00158	50	40	0	0	0	0	0	0	0	92
0.00159	50	41	0	0	0	0	0	0	0	93
0.0016	50	41	0	0	0	0	0	0	0	93
0.00161	50	41	0	0	0	0	0	0	0	93
0.00162	50	41	0	0	0	0	0	0	0	93
0.00163	50	41	0	0	0	0	0	0	0	93
0.00164	50	42	0	0	0	0	0	0	0	94
0.00165	50	42	0	0	0	0	0	0	0	94
0.00166	50	42	0	0	0	0	0	0	0	94
0.00167	51	42	0	0	0	0	0	0	0	95
0.00168	51	43	0	0	0	0	0	0	0	96
0.00169	51	43	0	0	0	0	0	0	0	96
0.0017	52	43	0	0	0	0	0	0	0	97
0.00171	52	43	0	0	0	0	0	0	0	97
0.00172	53	43	0	0	0	0	0	0	0	98
0.00173	53	43	0	0	0	0	0	0	0	98
0.00174	53	45	0	0	0	0	0	0	0	100
0.00175	53	45	0	0	0	0	0	0	0	100
0.00176	53	45	0	0	0	0	0	0	0	100
0.00177	53	45	0	0	0	0	0	0	0	100
0.00178	53	46	0	0	0	0	0	0	0	101
0.00179	53	46	0	0	0	0	0	0	0	101
0.0018	55	46	0	0	0	0	0	0	0	103
0.00181	56	46	0	0	0	0	0	0	0	104
0.00182	56	46	0	0	0	0	0	0	0	104
0.00183	56	46	0	0	0	0	0	0	0	104
0.00184	56	46	0	0	0	0	0	0	0	104
0.00185	56	46	0	0	0	0	0	0	0	104
0.00186	56	46	0	0	0	0	0	0	0	104
0.00187	56	46	0	0	0	0	0	0	0	104
0.00188	56	46	0	0	0	0	0	0	0	104
0.00189	56	46	0	0	0	0	0	0	0	104
0.0019	56	46	0	0	0	0	0	0	0	104
0.00191	56	46	0	0	0	0	0	0	0	104
0.00192	56	46	0	0	0	0	0	0	0	104
0.00193	57	46	0	0	0	0	0	0	0	105
0.00194	57	46	0	0	0	0	0	0	0	105
0.00195	57	46	0	0	0	0	0	0	0	105
0.00196	57	46	0	0	0	0	0	0	0	105
0.00197	58	47	0	0	0	0	0	0	0	107
0.00198	59	47	0	0	0	0	0	0	0	108
0.00199	59	47	0	0	0	0	0	0	0	108
0.002	59	47	0	0	0	0	0	0	0	108
0.00201	59	47	0	0	0	0	0	0	0	108
0.00202	60	47	0	0	0	0	0	0	0	109
0.00203	60	48	0	0	0	0	0	0	0	110
0.00204	60	48	0	0	0	0	0	0	0	110
0.00205	60	49	0	0	0	0	0	0	0	111
0.00206	61	49	0	0	0	0	0	0	0	112
0.00207	61	50	0	0	0	0	0	0	0	113
0.00208	61	51	0	0	0	0	0	0	0	114
0.00209	61	51	0	0	0	0	0	0	0	114
0.0021	61	52	0	0	0	0	0	0	0	115
0.00211	62	53	0	0	0	0	0	0	0	117
0.00212	62	53	0	0	0	0	0	0	0	117
0.00213	62	54	0	0	0	0	0	0	0	118
0.00214	63	54	0	0	0	0	0	0	0	119
0.00215	63	54	0	0	0	0	0	0	0	119
0.00216	64	55	0	0	0	0	0	0	0	121
0.00217	64	55	0	0	0	0	0	0	0	121
0.00218	64	55	0	0	0	0	0	0	0	121
0.00219	64	55	0	0	0	0	0	0	0	121
0.0022	64	56	0	0	0	0	0	0	0	122
0.00221	64	57	0	0	0	0	0	0	0	123
0.00222	65	57	0	0	0	0	0	0	0	124
0.00223	65	58	0	0	0	0	0	0	0	125
0.00224	65	58	0	0	0	0	0	0	0	125
0.00225	66	58	0	0	0	0	0	0	0	126
0.00226	66	58	0	0	0	0	0	0	0	126
0.00227	66	58	0	0	0	0	0	0	0	126
0.00228	66	58	0	0	0	0	0	0	0	126
0.00229	67	58	0	0	0	0	0	0	0	127
0.0023	67	59	0	0	0	0	0	0	0	128
0.00231	67	60	0	0	0	0	0	0	0	129
0.00232	67	60	0	0	0	0	0	0	0	129
0.00233	67	60	0	0	0	0	0	0	0	129
0.00234	68	61	0	0	0	0	0	0	0	131
0.00235	68	61	0	0	0	0	0	0	0	131
0.00236	68	62	0	0	0	0	0	0	0	132
0.00237	68	62	0	0	0	0	0	0	0	132
0.00238	68	62	0	0	0	0	0	0	0	132
0.00239	68	63	0	0	0	0	0	0	0	133
0.0024	68	63	0	0	0	0	0	0	0	133
0.00241	69	63	0	0	0	0	0	0	0	134
0.00242	69	63	0	0	0	0	0	0	0	134
0.00243	69	64	0	0	0	0	0	0	0	135
0.00244	70	64	0	0	0	0	0	0	0	136
0.00245	70	64	0	0	0	0	0	0	0	136
0.00246	71	64	0	0	0	0	0	0	0	137
0.00247	71	65	0	0	0	0	0	0	0	138
0.00248	71	64	0	0	0	0	0	0	0	138
0.00249	71	65	0	0	0	0	0	0	0	139
0.0025	71	65	0	0	0	0	0	0	0	139
0.00251	71	65	0	0	0	0	0	0	0	139
0.00252	71	65	0	0	0	0	0	0	0	139
0.00253	71	65	0	0	0	0	0	0	0	139
0.00254	71	65	0	0	0	0	0	0	0	139
0.00255	71	65	0	0	0	0	0	0	0	139
0.00256	71	65	0	0	0	0	0	0	0	139
0.00257	71	65	0	0	0	0	0	0	0	139
0.00258	71	65	0	0	0	0	0	0	0	139
0.00259	71	65	0	0	0	0	0	0	0	139
0.0026	71	65	0	0	0	0	0	0	0	139
0.00261	72	65	0	0	0	0	0	0	0	140
0.00262	72	65	0	0	0	0	0	0	0	140
0.00263	72	65	0	0	0	0	0	0	0	140
0.00264	72	65	0	0	0	0	0	0	0	141
0.00265	72	65	0	0	0	0	0	0	0	141
0.00266	72	65	0	0	0	0	0	0	0	141
0.00267	75	66	0	0	0	0	0	0	0	145
0.00268	75	66	0	0	0	0	0	0	0	145
0.00269	76	66	0	0	0	0	0	0	0	146
0.0027	77	65	0	0	0	0	0	0	0	147
0.00271	77	65	0	0	0	0	0	0	0	147
0.00272	77	66	0	0	0	0	0	0	0	148
0.00273	76	67	0	0	0	0	0	0	0	149
0.00274	77	68	0	0	0	0	0	0	0	151
0.00275	77	69	0	0	0	0	0	0	0	153
0.00276	77	69	0	0	0	0	0	0	0	153
0.00277	77	69	0	0	0	0	0	0	0	153
0.00278	77	70	0	0	0	0	0	0	0	154
0.00279	77	70	0	0	0	0	0	0	0	154
0.0028	78	70	0	0	0	0	0	0	0	155
0.00281	80	70	0	0	0	0	0	0	0	157
0.00282	80	70	0	0	0	0	0	0	0	157
0.00283	80	70	0	0	0	0	0	0	0	157
0.00284	81	71	0	0	0	0	0	0	0	159
0.00285	81	72	0	0	0	0	0	0	0	160
0.00286	81	72	0	0	0	0	0	0	0	160
0.00287	81	72	0	0	0	0	0	0	0	160
0.00288	80	72	0	0	0	0	0	0	0	160
0.00289	81	71	0	0	0	0	0	0	0	161
0.0029	81	72	0	0	0	0	0	0	0	162
0.00291	81	72	0	0	0	0	0	0	0	162
0.00292	82	73	0	0	0	0	0	0	0	164
0.00293	83	74	0	0	0	0	0	0	0	166
0.00294	83	75	0	0	0	0	0	0	0	167
0.00295	83	75	0	0	0	0	0	0	0	167
0.00296	84	77	0	0	0	0	0	0	0	170
0.00297	84	77	0	0	0	0	0	0	0	170
0.00298	85	77	0	0	0	0	0	0	0	171
0.00299	87	77	0	0	0	0	0	0	0	173
0.003	87	77	0	0	0	0	0	0	0	173
