Time (s): 0
10	pip2: 1. ap2: 1. 
9	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.00038
981	pip2: 1. 
491	trans: 1. 
481	ap2: 1. 
10	pip2: 1. ap2: 1. 
9	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.00039
981	pip2: 1. 
490	trans: 1. 
481	ap2: 1. 
9	pip2: 1. ap2: 1. 
10	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.0004
979	pip2: 1. 
490	trans: 1. 
479	ap2: 1. 
11	pip2: 1. ap2: 1. 
10	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.00041
979	pip2: 1. 
490	trans: 1. 
479	ap2: 1. 
11	pip2: 1. ap2: 1. 
10	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.00042
979	pip2: 1. 
490	trans: 1. 
479	ap2: 1. 
11	pip2: 1. ap2: 1. 
10	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.00043
979	pip2: 1. 
489	trans: 1. 
479	ap2: 1. 
10	pip2: 1. ap2: 1. 
11	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.00044
978	pip2: 1. 
489	trans: 1. 
478	ap2: 1. 
11	pip2: 1. ap2: 1. 
11	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.00045
977	pip2: 1. 
488	trans: 1. 
477	ap2: 1. 
11	pip2: 1. ap2: 1. 
12	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.00046
976	pip2: 1. 
488	trans: 1. 
476	ap2: 1. 
12	pip2: 1. ap2: 1. 
12	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.00047
976	pip2: 1. 
488	trans: 1. 
476	ap2: 1. 
12	pip2: 1. ap2: 1. 
12	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.00048
976	pip2: 1. 
488	trans: 1. 
476	ap2: 1. 
12	pip2: 1. ap2: 1. 
12	pip2: 1. ap2: 1. trans: 1. 
Time (s): 0.00049
975	pip2: 1. 
486	trans: 1. 
475	ap2: 1. 
14	pip2: 1. ap2: 1. trans: 1. 
11	pip2: 1. ap2: 1. 
Time (s): 0.0005
974	pip2: 1. 
486	trans: 1. 
474	ap2: 1. 
14	pip2: 1. ap2: 1. trans: 1. 
12	pip2: 1. ap2: 1. 
Time (s): 0.00051
974	pip2: 1. 
486	trans: 1. 
474	ap2: 1. 
14	pip2: 1. ap2: 1. trans: 1. 
12	pip2: 1. ap2: 1. 
Time (s): 0.00052
974	pip2: 1. 
485	trans: 1. 
474	ap2: 1. 
15	pip2: 1. ap2: 1. trans: 1. 
11	pip2: 1. ap2: 1. 
Time (s): 0.00053
974	pip2: 1. 
485	trans: 1. 
474	ap2: 1. 
15	pip2: 1. ap2: 1. trans: 1. 
11	pip2: 1. ap2: 1. 
Time (s): 0.00054
974	pip2: 1. 
484	trans: 1. 
474	ap2: 1. 
16	pip2: 1. ap2: 1. trans: 1. 
10	pip2: 1. ap2: 1. 
Time (s): 0.00055
974	pip2: 1. 
484	trans: 1. 
474	ap2: 1. 
16	pip2: 1. ap2: 1. trans: 1. 
10	pip2: 1. ap2: 1. 
Time (s): 0.00056
974	pip2: 1. 
484	trans: 1. 
474	ap2: 1. 
16	pip2: 1. ap2: 1. trans: 1. 
10	pip2: 1. ap2: 1. 
Time (s): 0.00057
973	pip2: 1. 
484	trans: 1. 
473	ap2: 1. 
16	pip2: 1. ap2: 1. trans: 1. 
11	pip2: 1. ap2: 1. 
Time (s): 0.00058
973	pip2: 1. 
484	trans: 1. 
473	ap2: 1. 
16	pip2: 1. ap2: 1. trans: 1. 
11	pip2: 1. ap2: 1. 
Time (s): 0.00059
973	pip2: 1. 
483	trans: 1. 
473	ap2: 1. 
17	pip2: 1. ap2: 1. trans: 1. 
10	pip2: 1. ap2: 1. 
Time (s): 0.0006
973	pip2: 1. 
483	trans: 1. 
473	ap2: 1. 
17	pip2: 1. ap2: 1. trans: 1. 
10	pip2: 1. ap2: 1. 
Time (s): 0.00061
973	pip2: 1. 
483	trans: 1. 
473	ap2: 1. 
17	pip2: 1. ap2: 1. trans: 1. 
10	pip2: 1. ap2: 1. 
Time (s): 0.00062
973	pip2: 1. 
483	trans: 1. 
473	ap2: 1. 
17	pip2: 1. ap2: 1. trans: 1. 
10	pip2: 1. ap2: 1. 
Time (s): 0.00063
971	pip2: 1. 
483	trans: 1. 
471	ap2: 1. 
17	pip2: 1. ap2: 1. trans: 1. 
12	pip2: 1. ap2: 1. 
